SR. No,Rider ID,Rider Name,Phone,Darkstore ID,Darkstore Name,City,Vehicle Type,Status,Exp (Yrs),Avg Del/Day,Rating,earnings_per_hour,deliveries_accepted_triggers,total_deliveries_trigger,DPDT_percent
454,RDR-DEL-5454,Salman Roy,+91 8981560713,DS-DEL-1115,Zepto  -  Janakpuri Nano,Delhi,Electric Scooter,On Leave,0.8,37,4.3,104,47,47,100
455,RDR-DEL-5455,Sanjay Subramanian,+91 9710607239,DS-DEL-1115,Zepto  -  Janakpuri Nano,Delhi,Bicycle,Active,4.2,41,3.6,202,5,13,38
456,RDR-DEL-5456,Karthik Shah,+91 7486949792,DS-DEL-1115,Zepto  -  Janakpuri Nano,Delhi,Petrol Scooter,Active,4.2,31,4.1,295,5,10,50
457,RDR-DEL-5457,Anil Menon,+91 7359779054,DS-DEL-1115,Zepto  -  Janakpuri Nano,Delhi,Electric Scooter,Active,1.3,42,4.2,361,9,17,53
458,RDR-DEL-5458,Srikanth Mehta,+91 8275571407,DS-DEL-1115,Zepto  -  Janakpuri Nano,Delhi,Electric Bike,Active,4.2,17,3.9,464,38,38,100
459,RDR-DEL-5459,Dinesh Sharma,+91 7714457408,DS-DEL-1115,Zepto  -  Janakpuri Nano,Delhi,Petrol Scooter,Active,1.5,22,4.5,471,43,48,90
460,RDR-DEL-5460,Vikram Pillai,+91 8651131533,DS-DEL-1115,Zepto  -  Janakpuri Nano,Delhi,Bicycle,On Leave,4,15,4.2,449,12,12,100
461,RDR-DEL-5461,Sanjay Pillai,+91 7745471251,DS-DEL-1069,Blinkit  -  Karol Bagh Nano,Delhi,Electric Bike,Active,3.2,45,4,146,41,41,100
462,RDR-DEL-5462,Imran Pillai,+91 8555059083,DS-DEL-1069,Blinkit  -  Karol Bagh Nano,Delhi,Electric Bike,Inactive,2.6,21,4.2,454,15,19,79
463,RDR-DEL-5463,Satish Roy,+91 9526439295,DS-DEL-1069,Blinkit  -  Karol Bagh Nano,Delhi,Petrol Scooter,Active,5,45,4.8,410,19,19,100
464,RDR-DEL-5464,Harish Sen,+91 9737558411,DS-DEL-1069,Blinkit  -  Karol Bagh Nano,Delhi,Petrol Scooter,Active,1,17,4,407,17,28,61
465,RDR-DEL-5465,Vikram Pillai,+91 8397302928,DS-DEL-1069,Blinkit  -  Karol Bagh Nano,Delhi,Electric Scooter,On Leave,4.5,24,3.8,243,19,43,44
466,RDR-DEL-5466,Balaji Subramanian,+91 7160961339,DS-DEL-1069,Blinkit  -  Karol Bagh Nano,Delhi,Electric Bike,Inactive,3.2,36,4,368,42,42,100
467,RDR-DEL-5467,Sanjay Krishnan,+91 7803731001,DS-DEL-1069,Blinkit  -  Karol Bagh Nano,Delhi,Petrol Scooter,Active,4.6,27,4.1,469,14,32,44
468,RDR-DEL-5468,Karthik Mukherjee,+91 9714225883,DS-DEL-1069,Blinkit  -  Karol Bagh Nano,Delhi,Electric Bike,Active,3.7,36,4.3,223,19,37,51
469,RDR-DEL-5469,Pavan Rao,+91 9484933362,DS-DEL-1069,Blinkit  -  Karol Bagh Nano,Delhi,Petrol Scooter,Inactive,4.3,43,4.3,205,41,41,100
470,RDR-DEL-5470,Sachin Singh,+91 8237378973,DS-DEL-1069,Blinkit  -  Karol Bagh Nano,Delhi,Petrol Scooter,On Leave,3,44,3.8,257,14,16,88
471,RDR-DEL-5471,Satish Murthy,+91 8802693852,DS-DEL-1170,Blinkit  -  Cyber City V,Delhi,Electric Scooter,Active,3.8,24,4.1,246,33,38,87
472,RDR-DEL-5472,Ajay Mehta,+91 8728751749,DS-DEL-1170,Blinkit  -  Cyber City V,Delhi,Electric Scooter,Inactive,2.6,42,4.5,244,12,17,71
473,RDR-DEL-5473,Ashok Bose,+91 7607042021,DS-DEL-1170,Blinkit  -  Cyber City V,Delhi,Electric Bike,Active,4.4,27,4.3,219,4,10,40
474,RDR-DEL-5474,Lokesh Sharma,+91 7247494816,DS-DEL-1170,Blinkit  -  Cyber City V,Delhi,Electric Bike,Active,4.9,43,4.9,418,12,12,100
475,RDR-DEL-5475,Sunil Reddy,+91 8868443155,DS-DEL-1170,Blinkit  -  Cyber City V,Delhi,Electric Scooter,Active,2,20,4,374,27,33,82
476,RDR-DEL-5476,Suresh Kumar,+91 8393698307,DS-DEL-1170,Blinkit  -  Cyber City V,Delhi,Electric Scooter,On Leave,3.1,20,4.2,191,17,32,53
477,RDR-DEL-5477,Salman Subramanian,+91 7238948590,DS-DEL-1170,Blinkit  -  Cyber City V,Delhi,Petrol Scooter,On Leave,2.3,45,4.2,157,17,17,100
478,RDR-DEL-5478,Arjun Sharma,+91 9314119421,DS-DEL-1170,Blinkit  -  Cyber City V,Delhi,Petrol Scooter,Inactive,4.5,39,4.7,445,46,46,100
479,RDR-DEL-5479,Ganesh Kumar,+91 9104427929,DS-DEL-1170,Blinkit  -  Cyber City V,Delhi,Petrol Scooter,Active,3.6,26,4,328,7,12,58
480,RDR-DEL-5480,Vijay Joshi,+91 9732080338,DS-DEL-1170,Blinkit  -  Cyber City V,Delhi,Electric Scooter,Active,0.7,45,3.9,216,23,42,55
481,RDR-DEL-5481,Farhan Roy,+91 9662767039,DS-DEL-1174,Blinkit  -  Shalimar Bagh I,Delhi,Electric Scooter,Inactive,5,25,5,417,27,37,73
482,RDR-DEL-5482,Naresh Mehta,+91 7277042316,DS-DEL-1174,Blinkit  -  Shalimar Bagh I,Delhi,Electric Bike,Inactive,2.3,22,3.8,378,17,17,100
483,RDR-DEL-5483,Sanjay Verma,+91 9123529192,DS-DEL-1174,Blinkit  -  Shalimar Bagh I,Delhi,Petrol Scooter,Active,2.1,35,4.7,226,38,43,88
484,RDR-DEL-5484,Dinesh Murthy,+91 9374651533,DS-DEL-1174,Blinkit  -  Shalimar Bagh I,Delhi,Petrol Scooter,On Leave,3.2,16,4.5,492,29,44,66
485,RDR-DEL-5485,Devraj Chandran,+91 7151791998,DS-DEL-1174,Blinkit  -  Shalimar Bagh I,Delhi,Petrol Scooter,Active,2.2,32,3.9,495,41,41,100
486,RDR-DEL-5486,Nandhu Reddy,+91 7846456758,DS-DEL-1174,Blinkit  -  Shalimar Bagh I,Delhi,Petrol Scooter,Active,2.4,18,4.5,228,24,33,73
487,RDR-DEL-5487,Vikram Bose,+91 9852399189,DS-DEL-1174,Blinkit  -  Shalimar Bagh I,Delhi,Electric Scooter,Inactive,1,38,4.4,157,13,23,57
488,RDR-DEL-5488,Sachin Singh,+91 7634443249,DS-DEL-1174,Blinkit  -  Shalimar Bagh I,Delhi,Electric Scooter,Active,1.7,31,5,221,29,41,71
489,RDR-DEL-5489,Pranav Iyer,+91 8417130941,DS-DEL-1174,Blinkit  -  Shalimar Bagh I,Delhi,Electric Scooter,Active,4.6,37,4.9,100,22,25,88
490,RDR-DEL-5490,Ajay Gupta,+91 7113689561,DS-DEL-1174,Blinkit  -  Shalimar Bagh I,Delhi,Petrol Scooter,Inactive,4.3,36,4.2,338,6,13,46
491,RDR-DEL-5491,Deepak Subramanian,+91 9180582403,DS-DEL-1045,Blinkit  -  Pitampura Nano,Delhi,Petrol Scooter,Active,1.7,22,4.2,389,21,46,46
492,RDR-DEL-5492,Sachin Mishra,+91 8153773200,DS-DEL-1045,Blinkit  -  Pitampura Nano,Delhi,Electric Scooter,Active,0.7,24,4,195,30,30,100
493,RDR-DEL-5493,Satish Pandey,+91 8893001503,DS-DEL-1045,Blinkit  -  Pitampura Nano,Delhi,Electric Scooter,Inactive,4.5,15,4.8,225,10,23,43
494,RDR-DEL-5494,Shankar Pillai,+91 7452896879,DS-DEL-1045,Blinkit  -  Pitampura Nano,Delhi,Electric Scooter,Active,3.3,43,4.6,217,25,40,62
495,RDR-DEL-5495,Harish Chandran,+91 8296354549,DS-DEL-1045,Blinkit  -  Pitampura Nano,Delhi,Electric Scooter,Active,2.6,41,4.1,147,23,27,85
496,RDR-DEL-5496,Pavan Rajan,+91 8796693603,DS-DEL-1045,Blinkit  -  Pitampura Nano,Delhi,Electric Bike,Active,1.1,38,3.6,188,12,16,75
497,RDR-DEL-5497,Pradeep Singh,+91 8734313309,DS-DEL-1045,Blinkit  -  Pitampura Nano,Delhi,Petrol Scooter,Active,2.5,34,4.1,336,19,19,100
498,RDR-DEL-5498,Pranav Bose,+91 7834937767,DS-DEL-1045,Blinkit  -  Pitampura Nano,Delhi,Electric Bike,On Leave,4.5,30,4.9,472,16,16,100
499,RDR-DEL-5499,Anil Murthy,+91 8573185010,DS-DEL-1045,Blinkit  -  Pitampura Nano,Delhi,Bicycle,Active,1.9,37,4.8,484,42,42,100
500,RDR-DEL-5500,Balaji Subramanian,+91 9719172154,DS-DEL-1045,Blinkit  -  Pitampura Nano,Delhi,Petrol Scooter,Active,4.8,42,4,371,32,32,100
